Question,Options
下列关于内生肌酐清除率的叙述，正确的是,"A 肾功能严重损害时，开始升高
B 高于80ml/分提示预后不良
C 肾功能损害愈重，其清除率愈低
D 肾功能损害愈重，其清除率愈高
E 其测定与肾功能损害程度无关"
下列关于甲状腺功能亢进症的叙述，正确的是,"A T3、T4均增高时，才能诊断
B T4、T3均降低时，才能诊断
C 仅有T3增高也可诊断
D T3增高时，T4则降低
E 以上均非"
血清总胆红素、结合胆红素、非结合胆红素均中度增加，可见于,"A 蚕豆病
B 胆石症
C 珠蛋白生成障碍性贫血
D 急性黄疸性肝炎
E 胰头癌"
成人血清钠的正常值是,"A 110～120mmol/L
B 121～130mmol/L
C 135～145mmol/L
D 150～155mmol/L
E 156～160mmol/L"
正常人尿中可以偶见的管型是,"A 红细胞管型
B 白细胞管型
C 上皮细胞管型
D 透明管型
E 蜡样管型"
对诊断急性胰腺炎最有价值的血清酶检查是,"A 谷草转氨酶
B 淀粉酶
C 碱性磷酸酶
D 谷丙转氨酶
E 乳酸脱氢酶"
尿沉渣镜检每高倍视野多少个白细胞即视为异常,"A >3个
B >1个
C >5个
D >8个
E >10个"
下列可引起中性粒细胞病理性增多的是,"A 麻疹
B 急性溶血
C 恶性组织细胞病
D 系统性红斑狼疮
E 脾功能亢进"
下列哪种病变通常不出现蛋白尿,"A 化脓性扁桃体炎引起的高热
B 高血压病(3级)
C 妊娠中毒症
D 缺血性心脏病(心绞痛发作时)
E 慢性右心功能不全"
天门冬氨酸氨基转移酶（AST）的正常参考值为,"A ＜10U/L
B ＜20U/L
C ＜30U/L
D ＜40U/L
E ＜50U/L"
引起病理性血糖升高的原因不包括下列哪种疾病,"A 甲状腺功能亢进症
B 嗜铬细胞瘤
C 糖尿病
D 肾上腺皮质功能亢进症
E 胰岛细胞瘤"
患者，男，55岁。劳累及情绪激动后，多次出现短时间胸骨后疼痛，下列哪项血清检查对明确诊断最有参考意义,"A 钾
B 钠
C 氯化物
D 钙
E 胆固醇及甘油三脂"
病理性蛋白尿，可见于,"A 剧烈活动后
B 严重受寒
C 直立性蛋白尿
D 妊娠中毒
E 以上均非"
血白细胞总数增多，可见于,"A 伤寒杆菌感染
B 再生障碍性贫血
C 急性失血
D 使用氯霉素的影响
E 脾功能亢进"
下列情况，不出现尿酮体阳性的是,"A 饥饿状态
B 暴饮暴食
C 妊娠剧烈呕吐
D 糖尿病酮症酸中毒
E 厌食症"
骨髓细胞内出现Auer小体常见于,"A 急性淋巴细胞白血病
B 急性粒细胞白血病
C 慢性粒细胞白血病
D 溶血性贫血
E 系统性红斑狼疮"
对诊断心肌梗死最有意义的是,"A 淀粉酶
B 血清转氨酶
C 谷氨酰基转肽酶
D 血清碱性磷酸酶
E 肌酸磷酸激酶"
"下列除哪项外,均可引起血清钾增高","A 急、慢性肾衰竭
B 静脉滴注大量钾盐
C 严重溶血
D 代谢性酸中毒
E 代谢性碱中毒"
有助于诊断肝性脑病的血液化验指标是,"A 血氨
B 丙氨酸氨基转移酶
C 白蛋白
D 血小板计数
E 球蛋白"
肾孟肾炎时常可出现的是,"A 白细胞管型
B 蜡样管型
C 脂肪管型
D 红细胞管型
E 颗粒管型"
霍乱病人可见,"A 水样便
B 米泔样便
C 鲜血便
D 柏油样便
E 灰白色便"
丝虫病可引起的尿液改变是,"A 乳糜尿
B 血红蛋白尿
C 胆红素尿
D 脓尿
E 血尿"
下列哪项符合漏出液的特点,"A 外观呈血性
B 比重>1.018
C 能自凝
D 白细胞计数>0.5×109/L
E 无病原菌"
下列除哪项外均可出现蛋白尿,"A 高热
B 高血压
C 妊娠
D 心功能不全
E 慢性胃炎"
下列疾病，可以出现凝血时间缩短的是,"A 先天性凝血酶原缺乏症
B 纤维蛋白原缺乏症
C DIC早期
D 血小板减少性紫癜
E 严重肝病"
慢肾衰竭时常可出现的是,"A 白细胞管型
B 蜡样管型
C 脂肪管型
D 红细胞管型
E 颗粒管型"
下列关于血尿素氮的改变及临床意义的叙述，正确的是,"A 上消化道出血时，血尿素氮减少
B 大面积烧伤时，血尿素氮减少
C 严重的肾盂肾炎，血尿素氮减少
D 血尿素氮对早期肾功能损害的敏感性差
E 血尿素氮对早期肾功能损害的敏感性强"
患者，女，18岁。2周前患扁桃体炎，近日心悸，气短，发热，出汗，踝、膝关节游走性疼痛。查体：心率110次/分，第一心音减弱，上肢内侧皮肤有环形红斑。应首先考虑的是,"A 病毒性心肌炎
B 类风湿关节炎
C 风湿热
D 亚急性感染性心内膜炎
E 系统性红斑狼疮"
对诊断系统性红斑狼疮最有意义的检查是,"A 免疫球蛋白测定
B 抗核抗体
C 总补体溶血活力测定
D E玫瑰花试验
E 淋巴细胞转化试验"
慢性肾小球肾炎高血压型的主要特点是,"A 轻度水肿
B 大量蛋白尿
C 中度以上高血压
D 肾衰竭
E 贫血"
女性，26岁，已婚。突发尿痛、尿频、尿急，腹痛半天。检查：肾区无叩击痛，尿白细胞（++），中段尿细菌培养为大肠杆菌。其诊断是,"A 急性肾盂肾炎
B 肾结核
C 急性膀胱炎
D 肾结石
E 慢性肾炎"
膀胱炎最易发生于,"A 女性婴幼儿
B 50岁以上男性
C 育龄妇女
D 老年妇女
E 青年男性"
慢性肾小球肾炎肾病型的主要特点是,"A 轻度水肿
B 大量蛋白尿
C 中度以上高血压
D 肾衰竭
E 贫血"
下列不属于慢性肾小球肾炎表现的是,"A 低血压
B 蛋白尿
C 高血压
D 水肿
E 血尿"
患者，女，32岁。近两年来间断发生尿路刺激征，不发热，尿中查到白细胞与颗粒管型。应首先考虑的是：,"A 急性肾炎
B 慢性肾炎
C 急性肾盂肾炎
D 慢性肾盂肾炎
E 急性膀胱炎"
下列不是慢性肾小球肾炎基本临床表现的是,"A 蛋白尿
B 不同程度的肾功能减退
C 高血压
D 水肿
E 血尿"
慢性肾衰竭最常见并发的电解质及酸碱平衡紊乱是,"A 高钾血症、代谢性酸中毒
B 低钾血症、代谢性酸中毒
C 高钾血症、呼吸性酸中毒
D 低钾血症、呼吸性碱中毒
E 高钾血症、代谢性碱中毒"
引起尿路感染的病原体最多见的是,"A 葡萄球菌
B 变形杆菌
C 副大肠埃希菌
D 大肠埃希菌
E 链球菌"
+），红细胞少许，尿培养为大肠杆菌。应首先考虑的诊断是,"A 急性肾炎
B 急性膀胱炎
C 急性肾盂肾炎
D 肾结核
E 肾结石"
鉴别肾盂肾炎和下尿路感染最有意义的是,"A 尿频、尿急、尿痛
B 高热、腰痛
C 尿细菌培养阳性
D 尿中白细胞管型
E 血尿"
下列哪项是慢性肾炎普通型的表现,"A 中等程度蛋白尿
B 高度水肿
C 大量蛋白尿
D 血脂升高
E 血浆白蛋白降低"
慢性肾功能衰竭主要表现除肾功能减退，代谢产物潴留外还表现,"A 尿白细胞增多或尿菌（+）
B 腰痛和下腹部疼痛，寒战发热，肾区叩痛（+）
C 间歇性无症状性细菌尿和间歇性尿频、尿急
D 水、电解质紊乱及酸碱平衡失调
E 有多尿期，达3000～5000ml/d"
患者，女，28岁。婚后2周突发寒战、发热、尿频、尿痛半天，来医院急诊。查体：肾区区叩击痛(+)，尿镜检白细胞增多，并见白细胞管型，尿细菌培养阳性，诊断为急性肾盂肾炎。应首先考虑的治疗是,"A 庆大霉素
B 长效磺胺
C 红霉素
D 青霉素
E 头孢菌素类抗生素"
治疗肾性贫血应及早选用的药物是,"A 叶酸
B 维生素B12
C 糖皮质激素
D 铁剂
E 促红细胞生成素"
慢性肾小球肾炎的主要发病机制是,"A 链球菌感染
B 病毒感染
C 感染后免疫损害
D 毛细血管脆性增加
E 肝脏解毒功能下降"
患者，女，30岁。尿频、尿痛2天。检查：体温38℃，右肾区叩击痛，尿蛋白(±)，尿中红细胞2～4／HP，白细胞20～30／HP。应首先考虑的是,"A 急性膀胱炎
B 急性肾炎
C 急性肾盂肾炎
D 尿道综合征
E 右肾结石"
急性链球菌感染后所致的肾小球肾炎，与肾小球滤过率降低无关的是,"A 内皮细胞增生肿胀
B 肾小球毛细血管腔狭窄
C 肾小球系膜细胞增生
D 毛细血管壁基底膜明显增厚
E 肾小球缺血"
肺结核早期诊断最主要的办法是,"A 痰结核菌检查
B X线检查
C 结核菌素试验
D 红细胞沉降率
E 白细胞计数和分类"
下列哪种情况可触觉语颤增强,"A 阻塞性肺不张
B 压迫性肺不张
C 胸膜高度增厚
D 胸腔积液
E 皮下水肿"
X线下见右上肺有多发的厚壁空洞，周围有较广泛的纤维条索影。应首先考虑的是,"A 肺大疱
B 肺脓肿
C 浸润型肺结核空洞形成
D 慢性纤维空洞型肺结核
E 周围型肺癌空洞形成"
缓解哮喘症状的首选药物是,"A 糖皮质激素
B β2受体激动剂
C 白三烯调节剂
D 氨茶碱
E 抗胆碱药"
患者，26岁。近1个月来，以夜间咳嗽为主，痰中带血丝，伴低热，盗汗。应首先考虑的是,"A 肺结核
B 支气管扩张
C 肺癌
D 风湿性心脏病（二尖瓣狭窄）
E 急性肺水肿"
慢性支气管炎急性发作期最常见的表现是,"A 中性粒细胞增多
B 嗜酸性粒细胞增多
C 咳黏脓痰、咳嗽和痰量增多
D 高热不退
E 大咯血"
下列描述中属于漏出液特点的是,"A 细胞数常小于100×106/L
B Rivalta试验阳性
C 外观多混浊
D 蛋白定量在25g/L以下
E 比重多在1.018以上"
"患者，男，50岁。咳嗽、咳痰3年，每年发病持续4个月。肺底可听到散在干啰音,X线检查无异常。其诊断是","A 慢性支气管炎
B 肺结核
C 支气管哮喘
D 肺炎球菌肺炎
E 肺癌"
COPD患者长期家庭氧疗的氧流量是,"A 2～3L／min
B 3.5～4.5L／min
C 0.5～1L／min
D 1～2L／min
E 1.5～2.5L／min"
控制哮喘最有效的药物是,"A 糖皮质激素
B β2受体激动剂
C 白三烯调节剂
D 氨茶碱
E 抗胆碱药"
咳嗽伴有低热、盗汗、咯血多见于,"A 上呼吸道感染
B 胸膜炎
C 喉头水肿
D 支气管扩张
E 肺结核"
患者咳嗽。查体：右侧呼吸动度减弱，右下肺叩诊出现浊音，并可闻及支气管呼吸音。应首先考虑的是,"A 右下肺不张
B 右下肺实变
C 右侧胸腔积液
D 右侧气胸
E 肺气肿"
成人肺结核最常见类型,"A 原发综合征
B 血行播散型肺结核
C 浸润性肺结核
D 慢性纤维空洞型肺结核
E 结核性胸膜炎"
患者，男，45岁。咳嗽、咳痰5年，近3年每年持续咳嗽、咳痰3～4个月。肺部X线检查仅见肺纹理增粗。其诊断是,"A 肺结核
B 支气管哮喘
C 慢性支气管炎
D 肺脓肿
E 支气管扩张"
哮喘发作时的典型体征是,"A 广泛哮鸣音，呼气音延长
B 吸气音延长
C 呼吸音减低
D 胸膜摩擦音
E 双肺干啰音"
患者，男，60岁。慢性支气管炎病史20年，近半年活动后心悸，气短。查体：有肺气肿体征，两肺散在干、湿啰音、剑突下可见心尖搏动，肺动脉瓣区第二心音亢进，应首先考虑的是,"A 冠心病
B 肺心病
C 风心病
D 高血压性心脏病
E 心肌炎"
哮喘持续状态是指重度哮喘发作持续时间超过,"A 8小时
B 12小时
C 24小时
D 36小时
E 48小时"
心悸气短加重，神志清，血气分析在正常范围。下列哪项治疗是错误的,"A 抗感染
B 止咳
C 祛痰
D 呼吸兴奋剂
E 氨茶碱"
肺心病肺动脉高压形成的主要原因是,"A 肺细小动脉痉挛
B 肺血管玻璃样改变
C 血容量增加
D 右心室肥大
E 左心衰竭"
支气管哮喘的临床表现是,"A 长期、反复咳嗽、咳痰
B 反复咳嗽、咳痰，喘息，并伴有哮鸣音
C 咳嗽、咳痰，伴长期午后低热，消瘦，盗汗
D 发作性带哮鸣音的呼气性呼吸困难
E 夜间熟睡后突然憋醒，伴咳嗽、咳痰"
肺炎球菌肺炎，常伴有,"A 咳铁锈色痰
B 咳粉红色泡沫痰
C 咳吐大量鲜血
D 咳大量脓痰
E 干咳无痰"
肺心病心功能失代偿期多表现为,"A 以右心衰竭为主
B 低氧血症
C 二氧化碳潴留
D 全心衰竭
E 肺水肿"
患者，女，65岁。查体：心尖搏动出现在剑突下，且深吸气时增强，肺动脉瓣第二心音增强。应首先考虑的是,"A 冠心病
B 高血压性心脏病
C 风心病
D 肺心病
E 心肌炎"
患者，男，20岁。突发胸闷，气急，咳嗽。听诊：两肺满布哮鸣音。应首先考虑的是,"A 慢性支气管炎喘息型
B 急性支气管炎
C 心源性哮喘
D 支气管哮喘
E 气胸"
患者，男，60岁。脑溢血后长期卧床，2天前出现发热，咳嗽、呼吸困难等症状，胸透见两肺下叶有多数散在边缘不清小灶阴影。应首先考虑的是,"A 大叶性肺炎
B 干酪样肺炎
C 间质性肺炎
D 转移性肿瘤
E 小叶性肺炎"
患者，男，60岁。慢性支气管炎病史20年，肺心病病史5年。近1周感冒后咳嗽，吐黄痰，心悸气短加重。下列哪项治疗原则是最重要的,"A 止咳
B 祛痰
C 抗感染
D 强心
E 利尿"
患者，男，20岁。突发胸闷，气急，咳嗽。听诊：两肺满布哮鸣音。应首先考虑的是,"A 急性支气管炎
B 慢性支气管炎喘息型
C 心源性哮喘
D 支气管哮喘
E 支气管肺癌"
支气管肺癌由原发癌肿引起的症状是,"A 霍纳综合征
B 咳嗽、咯血、胸闷、气急
C 吞咽困难
D 头痛、呕吐、共济失调
E 厌食、肝区疼痛、黄疽"
外源性哮喘的临床表现是,"A 多见于青壮年
B 常于冬季或气候骤变时发病
C 前驱症状后发病急，缓解快
D 有呼吸道感染症状
E 起病慢，症状缓解后哮鸣音可持续多时"
按渗出物的最主要成分分类，大叶性肺炎属于,"A 浆液性炎
B 化脓性炎
C 出血性炎
D 纤维素性炎
E 卡他性炎"
患者，男，30岁。高热、寒战2天，胸痛，伴咳嗽，痰中带血。听诊：右肺中部可闻及湿性啰音。应首先考虑的是,"A 急性支气管炎
B 肺炎
C 肺结核
D 肺癌
E 支气管哮喘"
患者，男，70岁。发热，咳嗽1周。查体：体温38℃，血压80/50mmHg（10.6/6.7kPa），左肺下可闻及湿啰音。下列哪项处理是错误的：,"A 吸氧
B 药物降温
C 补充血容量
D 纠正酸中毒
E 使用血管活性药物"
患者，男，60岁。脑溢血后长期卧床，2天前出现发热、咳嗽、呼吸困难等症状，胸透见两肺下叶有多数散在边缘不清小灶阴影。应首先考虑的是,"A 大叶性肺炎
B 干酪样肺炎
C 间质性肺炎
D 转移性肿瘤
E 小叶性肺炎"
外源性支气管哮喘，与浆细胞产生的使人致敏的抗体结合的细胞是,"A 嗜酸性粒细胞
B 单核细胞
C 淋巴细胞
D 嗜碱性粒细胞
E 中性粒细胞"
诊断慢性肺心病的主要依据是,"A 长期肺结核病
B 长期慢性支气管炎
C 肺动脉高压及右心室肥大
D 肺动脉狭窄
E 两下肢浮肿"
男性，25岁。发作性干咳3月，伴有夜间胸闷，无发热、咯血。查体双肺未闻及干湿啰音。为明确诊断应首选的检查是,"A 心脏彩超
B X线胸片
C 肺功能
D 心电图
E 纤维支气管镜"
支气管哮喘的典型临床表现是,"A 呼气性呼吸困难
B 吸气性呼吸困难
C 混合性呼吸困难
D 劳力性呼吸困难
E 夜间阵发性呼吸困难"
患者，65岁，查体：心尖搏动出现在剑突下，且深吸气时增强，肺动脉瓣第二心音增强。应首先考虑的是,"A 冠心病
B 高血压性心脏病
C 风心病
D 肺心病
E 心肌炎"
慢阻肺低浓度氧疗的氧流量为,"A 1.0-2.0L/min
B 1.0-2.5L/min
C 1.0-1.5L/min
D 0.5-2.0L/min
E 0.5-1.0L/min"
患者，女，70岁。冠心病史5年。今日突然心悸气短，不能平卧，咳嗽，咳粉红色泡沫样痰。应首先考虑的是,"A 肺癌
B 肺脓肿
C 肺结核
D 急性肺水肿
E 支气管扩张"
不属于第一心音特点的是,"A 音调低，强度较响
B 声音时限较长
C 心尖搏动之后出现
D 心尖部最响
E 第一心音和第二心音间隔较短"
女性，22岁。2年来反复痰中带血，期间有大口咯血。体格检查无异常体征，X线胸片示左下肺纹理增粗、紊乱。最可能的诊断是,"A 风心病二尖瓣狭窄
B 慢性支气管炎
C 支气管扩张症
D 支气管肺癌
E 肺结核"
患者，男，20岁。咳嗽伴低热，盗汗，乏力1个月。X线显示右肺上云雾状阴影。应首先考虑的是,"A 原发型肺结核
B 血行播散型肺结核
C 浸润型肺结核
D 慢性纤维空洞型肺结核
E 结核性胸膜炎"
患者气短。查体：气管向左偏移，右侧胸廓饱满，叩诊出现实音。应首先考虑的是,"A 右侧胸腔积液
B 右侧气胸
C 肺气肿
D 右侧胸膜增厚
E 右侧肺不张"
患者，男，20岁。突发胸闷，带哮鸣音的呼气性呼吸困难，咳嗽。听诊两肺满布哮鸣音。应首先考虑的诊断是,"A 急性支气管炎
B 支气管哮喘
C 慢性支气管炎喘息型
D 心源性哮喘
E 气胸"
肺心病急性加重期治疗的关键是,"A 抢救呼吸衰竭
B 控制心衰
C 防止肺性脑病
D 控制呼吸道感染
E 持续低流量吸氧"
肺炎病原体最不常见的入侵途径是,"A 血行播散
B 邻近部位蔓延
C 定植菌误吸
D 飞沫吸入
E 淋巴道感染"
男性，20岁。反复咳嗽、咳痰量多2年。今天突然咳鲜血300ml，无发热、消瘦。听诊：右下肺闻及小水泡音。应首先考虑的是,"A 大叶性肺炎
B 肺结核
C 支气管扩张
D 风湿性心脏病伴二尖瓣狭窄
E 肺脓肿"
对临床疑诊自发性气胸病人，应首选的检查方法是,"A 超声波
B 胸部CT
C 胸部X线
D 磁共振成像
E 纤维支气管镜"
慢性支气管炎单纯型的临床表现是,"A 长期、反复咳嗽、咳痰
B 反复咳嗽、咳痰、喘息，并伴有哮鸣音
C 咳嗽、咳痰，伴长期午后低热、消瘦、盗汗
D 发作性带哮鸣音的呼气性呼吸困难
E 夜间熟睡后突然憋醒，伴咳嗽、咳痰"
慢性支气管炎与肺结核的主要鉴别依据是,"A 发热
B 咳嗽
C 咯血
D 肺部啰音
E 痰液检查"
内源性哮喘的临床表现是,"A 多见于儿童与青少年
B 常于春、秋季发病
C 可有前驱症状
D 起病慢，较多见哮喘持续状态
E 发病急，症状缓解快"
